index,nctid,Intervention_type,huage_did,CUI,standard_intervention,I/C ,intervention_id,“+”：has_significant；“-”：no_difference,standard_indicator,outcome_id
265,NCT04362137,Drug,Ruxolitinib 5 mg,C2931926,Ruxolitinib,I,intervention_34,+,Deterioration,outcome_255
266,NCT04362137,Drug,Ruxolitinib 5 mg,C2931926,Ruxolitinib,I,intervention_34,+,Improvement,outcome_256
267,NCT04362137,Drug,Ruxolitinib 5 mg,C2931926,Ruxolitinib,I,intervention_34,+,Mean Change,outcome_257
268,NCT04362137,Drug,Ruxolitinib 5 mg,C2931926,Ruxolitinib,I,intervention_34,+,Death ,outcome_258
269,NCT04362137,Drug,Ruxolitinib 5 mg,C2931926,Ruxolitinib,I,intervention_34,+,Mechanical Ventilation,outcome_259
270,NCT04362137,Drug,Ruxolitinib 5 mg,C2931926,Ruxolitinib,I,intervention_34,+,Hospitalization,outcome_260
271,NCT04362137,Drug,Ruxolitinib 5 mg,C2931926,Ruxolitinib,I,intervention_34,+,Discharge,outcome_261
299,NCT04425850,Combination Product,Iota carrageenan nasal spray and Ivermectin oral drops (used as buccal drops),C0022322,ivermectin,I,intervention_42,+,Infect,outcome_289
353,NCT04491240,Drug,EXO 1 inhalation,,EXO 1 inhalation,,intervention_65,+,CRP,outcome_343
354,NCT04491240,Drug,EXO 2 inhalation,,EXO 2 inhalation,,intervention_66,+,CRP,outcome_344
356,NCT04491240,Drug,EXO 1 inhalation,,EXO 1 inhalation,,intervention_65,+,LDH,outcome_346
357,NCT04491240,Drug,EXO 2 inhalation,,EXO 2 inhalation,,intervention_66,+,LDH,outcome_347
371,NCT04898166,,Hydroxychloroquine,C0020336,HCQ,I,intervention_68,+,Androgenetic Alopecia,outcome_361
437,NCT04728594,Behavioral,Social Proof,,Social Proof,I,intervention_79,+,Employees,outcome_427
438,NCT04728594,Behavioral,Reframing,,Reframing,I,intervention_80,+,Employees,outcome_428
439,NCT04728594,Behavioral,Scarcity Message,,Scarcity Message,I,intervention_81,+,Employees,outcome_429
444,NCT04425863,Drug,"Ivermectin 5 MG/ML oral solution, Aspirin 250 mg tablets",C0022322,Ivermectin,I,intervention_82,+,Death ,outcome_434
445,NCT04425863,Other,"Ivermectin 5 mg/mL oral solution, Dexamethasone 4-mg injection, Aspirin 250 mg tablets",C0022322,Ivermectin,I,intervention_83,+,Death ,outcome_435
446,NCT04425863,Other,"Ivermectin 5 MG/ML oral solution, Dexamethasone 4-mg injection, Enoxaparin injection. Inpatient treatment with mechanical ventilation in ICU.",C1272883,Injection,I,intervention_84,+,Death ,outcome_436
449,NCT04542226,Drug,Polyoxidonium,C2716079,Polyoxidonium,I,intervention_85,+,Ordinal Scale,outcome_439
535,NCT04406194,Drug,AVIGAN 200 mg Film Tablets,C5392771,Avigan,I,intervention_97,+,AUC1-tlast of Favipiravir,outcome_525
536,NCT04406194,Drug,AVIGAN 200 mg Film Tablets,C5392771,Avigan,I,intervention_97,+,Favipiravir Cmax ,outcome_526
537,NCT04406194,Drug,AVIGAN 200 mg Film Tablets,C5392771,Avigan,I,intervention_97,+,AUC0-inf of Favipiravir ,outcome_527
539,NCT04400682,Drug,AVIGAN 200 MG Film Tablets,C5392771,Avigan,I,intervention_98,+,AUC1-tlast,outcome_529
540,NCT04400682,Drug,AVIGAN 200 MG Film Tablets,C5392771,Avigan,I,intervention_98,+,Favipiravir Cmax ,outcome_530
541,NCT04400682,Drug,AVIGAN 200 MG Film Tablets,C5392771,Avigan,I,intervention_98,+,AUC0-inf of Favipiravir ,outcome_531
