index,nctid,MTI_condition,DUI,TUI,condition_id
64,NCT03452774,Leukemia,D007938,T023645,condition_48
65,NCT03452774,"Carcinoma, Non-Small-Cell Lung",D002289,T006593,condition_49
66,NCT03452774,Cholangiocarcinoma,D018281,T054584,condition_50
67,NCT03452774,Glioblastoma,D005909,T017872,condition_51
68,NCT03452774,Central Nervous System Neoplasms,D016543,T049500,condition_52
69,NCT03452774,Melanoma,D008545,T025424,condition_53
70,NCT03452774,"Carcinoma, Transitional Cell",D002295,T006607,condition_54
71,NCT03452774,Urinary Bladder,D001743,T653367,condition_55
72,NCT03452774,"Carcinoma, Ovarian Epithelial",D000077216,T000939019,condition_56
73,NCT03452774,Endometrial Neoplasms,D016889,T050561,condition_57
74,NCT03452774,Testicular Germ Cell Tumor,C563236,T802467,condition_58
75,NCT03452774,Breast Neoplasms,D001943,T005543,condition_59
76,NCT03452774,COVID-19,D000086382,T001007884,condition_3
77,NCT03452774,Primary Myelofibrosis,D055728,T716894,condition_60
78,NCT03452774,Myeloproliferative Disorders,D009196,T027431,condition_61
80,NCT03452774,"Lymphoma, Follicular",D008224,T024497,condition_62
81,NCT03452774,"Lymphoma, Mantle-Cell",D020522,T358571,condition_63
82,NCT03452774,"Lymphoma, B-Cell, Marginal Zone",D018442,T688321,condition_64
83,NCT03452774,Myelodysplastic Syndromes,D009190,T027415,condition_65
84,NCT03474965,"Anemia, Sickle Cell",D000755,T002256,condition_66
85,NCT03680274,Sepsis,D018805,T056029,condition_11
86,NCT03680274,Ascorbic Acid,D001205,T003591,condition_67
87,NCT03680274,Intensive Care Units,D007362,T022065,condition_68
88,NCT03680274,COVID-19,D000086382,T001007884,condition_3
89,NCT03680274,Pandemics,D058873,T658151,condition_69
91,NCT03708718,Sclerosis,D012598,T037325,condition_70
92,NCT03738774,postintensive care syndrome,C000657744,T001010050,condition_71
93,NCT03808922,Respiratory Tract Infections,D012141,T036165,condition_26
94,NCT03808922,Paramyxoviridae Infections,D018184,T054433,condition_72
95,NCT03808922,Immunocompromised Host,D016867,T050499,condition_73
96,NCT03808922,COVID-19,D000086382,T001007884,condition_3
97,NCT03852537,Pneumonia,D011014,T032393,condition_74
98,NCT03871491,Maternal Death,D063130,T818731,condition_75
99,NCT03871491,Fetus,D005333,T016282,condition_76
100,NCT03871491,Neonatal Sepsis,D000071074,T000892598,condition_77
101,NCT03871491,"Pregnancy Complications, Infectious",D011251,T033146,condition_78
102,NCT03871491,Perinatal Death,D066087,T856631,condition_79
103,NCT03871491,Puerperal Infection,D011645,T034379,condition_80
104,NCT03891420,COVID-19,D000086382,T001007884,condition_3
105,NCT03891420,Yellow Fever,D015004,T043787,condition_81
106,NCT03907891,Myocardial Ischemia,D017202,T051288,condition_82
107,NCT03907891,Self Concept,D012649,T037439,condition_83
108,NCT03907891,Exercise,D015444,T045599,condition_84
109,NCT03907891,Motivation,D009042,T027017,condition_85
110,NCT03907891,Social Support,D012944,T038117,condition_86
111,NCT03907891,COVID-19,D000086382,T001007884,condition_3
112,NCT03944447,Chronic Pain,D059350,T778527,condition_87
116,NCT03944447,Fibromyalgia,D005356,T016350,condition_88
117,NCT03944447,Seizures,D012640,T037409,condition_89
118,NCT03944447,Hepatitis C,D006526,T019683,condition_90
119,NCT03944447,Neoplasms,D009369,T027926,condition_1
120,NCT03944447,Crohn Disease,D003424,T009957,condition_91
121,NCT03944447,Acquired Immunodeficiency Syndrome,D000163,T000474,condition_92
122,NCT03944447,Multiple Sclerosis,D009103,T027212,condition_93
123,NCT03944447,"Brain Injuries, Traumatic",D000070642,T366349,condition_94
124,NCT03944447,"Anemia, Sickle Cell",D000755,T002256,condition_66
125,NCT03944447,"Stress Disorders, Post-Traumatic",D013313,T039096,condition_95
126,NCT03944447,Tourette Syndrome,D005879,T017781,condition_96
127,NCT03944447,"Colitis, Ulcerative",D003093,T008976,condition_97
128,NCT03944447,Glaucoma,D005901,T017836,condition_98
129,NCT03944447,Epilepsy,D004827,T014710,condition_99
130,NCT03944447,Inflammatory Bowel Diseases,D015212,T044480,condition_100
131,NCT03944447,Parkinson Disease,D010300,T030420,condition_101
132,NCT03944447,Amyotrophic Lateral Sclerosis,D000690,T002090,condition_102
133,NCT03944447,Chronic Traumatic Encephalopathy,D000070627,T000889970,condition_103
134,NCT03944447,Anxiety,D001007,T003092,condition_104
135,NCT03944447,Depression,D003863,T011484,condition_105
136,NCT03944447,Sleep Initiation and Maintenance Disorders,D007319,T365809,condition_106
137,NCT03944447,Autistic Disorder,D001321,T003904,condition_107
138,NCT03944447,"Analgesics, Opioid",D000701,T002123,condition_108
139,NCT03944447,Bipolar Disorder,D001714,T004982,condition_109
140,NCT03944447,COVID-19,D000086382,T001007884,condition_3
141,NCT03944447,SARS Virus,D045473,T538594,condition_110
145,NCT03944603,Health,D006262,T018961,condition_111
146,NCT03963622,"Respiration, Artificial",D012121,T036100,condition_112
147,NCT04025580,Healthy Volunteers,D064368,T837389,condition_20
148,NCT04025580,COVID-19,D000086382,T001007884,condition_3
149,NCT04052607,"Infertility, Female",D007247,T021726,condition_113
150,NCT04061382,Serogroup,D065288,T850479,condition_114
151,NCT04061382,Diphtheria,D004165,T012655,condition_115
152,NCT04061382,COVID-19,D000086382,T001007884,condition_3
153,NCT04107402,"Shock, Septic",D012772,T037700,condition_116
154,NCT04107402,Platelet Signal Processing Defect,C566796,T809136,condition_117
155,NCT04107402,Inflammatory Response,0,0,condition_118
156,NCT04107402,Disseminated Intravascular Coagulation,D004211,T012791,condition_119
157,NCT04107402,COVID-19,D000086382,T001007884,condition_3
158,NCT04107402,Extracellular Traps,D065206,T852047,condition_120
159,NCT04148430,B Cell ALL,0,0,condition_121
160,NCT04148430,"Lymphoma, B-Cell",D016393,T049001,condition_122
161,NCT04148430,Hodgkin Disease,D006689,T020222,condition_123
162,NCT04160975,"Influenza, Human",D007251,T658127,condition_10
164,NCT04160975,COVID-19,D000086382,T001007884,condition_3
165,NCT04169542,"Carcinoma, Intraductal, Noninfiltrating",D002285,T006582,condition_124
166,NCT04169542,COVID-19,D000086382,T001007884,condition_3
167,NCT04169542,"Breast Cancer, Familial",C562840,T801625,condition_125
168,NCT04169542,Breast Neoplasms,D001943,T005543,condition_59
169,NCT04233268,Respiratory Tract Infections,D012141,T036165,condition_26
170,NCT04233268,"Pneumonia, Ventilator-Associated",D053717,T668065,condition_126
171,NCT04233268,COVID-19,D000086382,T001007884,condition_3
172,NCT04240886,Invasive Fungal Infections,D000072742,T000901354,condition_127
173,NCT04244591,COVID-19,D000086382,T001007884,condition_3
174,NCT04245631,COVID-19,D000086382,T001007884,condition_3
175,NCT04247620,"Diabetes Mellitus, Type 1",D003922,T011740,condition_7
176,NCT04251767,COVID-19,D000086382,T001007884,condition_3
177,NCT04251871,Pneumonia,D011014,T032393,condition_74
178,NCT04252118,COVID-19,D000086382,T001007884,condition_3
179,NCT04252274,"Pneumonia, Pneumocystis",D011020,T537780,condition_128
180,NCT04252274,COVID-19,D000086382,T001007884,condition_3
181,NCT04252664,COVID-19,D000086382,T001007884,condition_3
183,NCT04252885,COVID-19,D000086382,T001007884,condition_3
184,NCT04254874,COVID-19,D000086382,T001007884,condition_3
185,NCT04255017,COVID-19,D000086382,T001007884,condition_3
186,NCT04255940,Cardiovascular System,D002319,T006665,condition_129
187,NCT04256395,Mycobacterium Infections,D009164,T027361,condition_130
188,NCT04257656,COVID-19,D000086382,T001007884,condition_3
189,NCT04257656,remdesivir,C000606551,T000959343,condition_131
191,NCT04259892,COVID-19,D000086382,T001007884,condition_3
192,NCT04260308,"Viruses, Unclassified",D014713,T043012,condition_132
193,NCT04260594,COVID-19,D000086382,T001007884,condition_3
194,NCT04261270,COVID-19,D000086382,T001007884,condition_3
195,NCT04261426,COVID-19,D000086382,T001007884,condition_3
196,NCT04261517,"Pneumonia, Pneumocystis",D011020,T537780,condition_128
197,NCT04261517,COVID-19,D000086382,T001007884,condition_3
199,NCT04261907,COVID-19,D000086382,T001007884,condition_3
200,NCT04262921,COVID-19,D000086382,T001007884,condition_3
201,NCT04263402,COVID-19,D000086382,T001007884,condition_3
202,NCT04264533,Ascorbic Acid,D001205,T003591,condition_67
203,NCT04264533,"Pneumonia, Viral",D011024,T032427,condition_133
204,NCT04264533,"Ventilators, Mechanical",D012122,T036103,condition_134
205,NCT04264858,COVID-19,D000086382,T001007884,condition_3
206,NCT04264858,Immunoglobulins,D007136,T021366,condition_135
207,NCT04268537,COVID-19,D000086382,T001007884,condition_3
208,NCT04269525,"Pneumonia, Viral",D011024,T032427,condition_133
209,NCT04269525,"Ventilators, Mechanical",D012122,T036103,condition_134
210,NCT04270383,COVID-19,D000086382,T001007884,condition_3
211,NCT04272710,COVID-19,D000086382,T001007884,condition_3
212,NCT04273321,COVID-19,D000086382,T001007884,condition_3
214,NCT04273529,Thalidomide,D013792,T040492,condition_136
215,NCT04273581,Thalidomide,D013792,T040492,condition_136
216,NCT04273646,COVID-19,D000086382,T001007884,condition_3
218,NCT04273763,COVID-19,D000086382,T001007884,condition_3
220,NCT04274322,Critical Illness,D016638,T049821,condition_17
221,NCT04274322,COVID-19,D000086382,T001007884,condition_3
222,NCT04275245,COVID-19,D000086382,T001007884,condition_3
223,NCT04275388,COVID-19,D000086382,T001007884,condition_3
224,NCT04275414,COVID-19,D000086382,T001007884,condition_3
225,NCT04275947,COVID-19,D000086382,T001007884,condition_3
226,NCT04276688,COVID-19,D000086382,T001007884,condition_3
227,NCT04276896,COVID-19,D000086382,T001007884,condition_3
228,NCT04276987,COVID-19,D000086382,T001007884,condition_3
229,NCT04278404,COVID-19,D000086382,T001007884,condition_3
230,NCT04278404,Pulmonary Arterial Hypertension,D000081029,T000957399,condition_137
231,NCT04278404,Urinary Tract Infections,D014552,T042580,condition_138
232,NCT04278404,Hypertension,D006973,T020937,condition_139
233,NCT04278404,Pain,D010146,T030048,condition_140
234,NCT04278404,Hyperphosphatemia,D054559,T690412,condition_141
235,NCT04278404,Hyperaldosteronism,D006929,T020845,condition_142
236,NCT04278404,Edema,D004487,T013694,condition_143
237,NCT04278404,Hypokalemia,D007008,T021008,condition_144
238,NCT04278404,Heart Failure,D006333,T682059,condition_145
239,NCT04278404,Hemophilia A,D006467,T019518,condition_146
240,NCT04278404,Menorrhagia,D008595,T025555,condition_147
241,NCT04278404,Sleep Initiation and Maintenance Disorders,D007319,T365809,condition_106
242,NCT04278404,Pneumonia,D011014,T032393,condition_74
243,NCT04278404,"Skin Diseases, Infectious",D012874,T037956,condition_148
244,NCT04278404,"Arrhythmias, Cardiac",D001145,T681619,condition_149
245,NCT04278404,Asthma,D001249,T003741,condition_150
246,NCT04278404,Bronchopulmonary Dysplasia,D001997,T005683,condition_151
247,NCT04278404,Adrenal Insufficiency,D000309,T573075,condition_152
248,NCT04278404,Fibrinolysis,D005342,T016308,condition_153
249,NCT04278404,Attention Deficit Disorder with Hyperactivity,D001289,T003845,condition_154
250,NCT04278404,"pediatric multisystem inflammatory disease, COVID-19 related",C000705967,T001080004,condition_155
251,NCT04278404,Mucocutaneous Lymph Node Syndrome,D009080,T027135,condition_156
252,NCT04278404,Blood Coagulation Disorders,D001778,T005167,condition_157
253,NCT04278404,Down Syndrome,D004314,T013181,condition_158
254,NCT04278963,COVID-19,D000086382,T001007884,condition_3
255,NCT04278963,"Medicine, Chinese Traditional",D008516,T025342,condition_159
256,NCT04279197,COVID-19,D000086382,T001007884,condition_3
257,NCT04279782,COVID-19,D000086382,T001007884,condition_3
258,NCT04279795,COVID-19,D000086382,T001007884,condition_3
259,NCT04279899,Communicable Diseases,D003141,T009157,condition_160
260,NCT04279899,Parturition,D036801,T023205,condition_161
262,NCT04280224,COVID-19,D000086382,T001007884,condition_3
263,NCT04280588,COVID-19,D000086382,T001007884,condition_3
264,NCT04280705,COVID-19,D000086382,T001007884,condition_3
265,NCT04280913,COVID-19,D000086382,T001007884,condition_3
266,NCT04281693,COVID-19,D000086382,T001007884,condition_3
267,NCT04282135,"Influenza, Human",D007251,T658127,condition_10
268,NCT04282902,COVID-19,D000086382,T001007884,condition_3
269,NCT04282902,Pneumonia,D011014,T032393,condition_74
270,NCT04282902,pirfenidone,C093844,T277352,condition_162
271,NCT04283396,COVID-19,D000086382,T001007884,condition_3
272,NCT04283461,COVID-19,D000086382,T001007884,condition_3
274,NCT04283825,COVID-19,D000086382,T001007884,condition_3
275,NCT04283838,COVID-19,D000086382,T001007884,condition_3
276,NCT04284046,COVID-19,D000086382,T001007884,condition_3
277,NCT04285190,COVID-19,D000086382,T001007884,condition_3
279,NCT04285801,COVID-19,D000086382,T001007884,condition_3
280,NCT04286503,COVID-19,D000086382,T001007884,condition_3
281,NCT04287686,COVID-19,D000086382,T001007884,condition_3
282,NCT04288102,COVID-19,D000086382,T001007884,condition_3
283,NCT04288713,COVID-19,D000086382,T001007884,condition_3
284,NCT04290780,Virus Replication,D014779,T043235,condition_163
285,NCT04290858,COVID-19,D000086382,T001007884,condition_3
286,NCT04290858,"Pneumonia, Viral",D011024,T032427,condition_133
287,NCT04290858,Dyspnea,D004417,T013477,condition_164
288,NCT04290871,COVID-19,D000086382,T001007884,condition_3
289,NCT04290871,Severe Acute Respiratory Syndrome,D045169,T536434,condition_165
290,NCT04291053,COVID-19,D000086382,T001007884,condition_3
291,NCT04291729,COVID-19,D000086382,T001007884,condition_3
292,NCT04292327,Pneumonia,D011014,T032393,condition_74
293,NCT04292340,COVID-19,D000086382,T001007884,condition_3
294,NCT04292730,COVID-19,D000086382,T001007884,condition_3
295,NCT04292899,COVID-19,D000086382,T001007884,condition_3
296,NCT04292964,COVID-19,D000086382,T001007884,condition_3
297,NCT04292964,Risk Factors,D012307,T036531,condition_166
298,NCT04293692,COVID-19,D000086382,T001007884,condition_3
299,NCT04293887,COVID-19,D000086382,T001007884,condition_3
300,NCT04293887,Immunologic Factors,D007155,T021455,condition_167
301,NCT04295551,COVID-19,D000086382,T001007884,condition_3
302,NCT04296643,COVID-19,D000086382,T001007884,condition_3
303,NCT04296643,Respiratory Protective Devices,D012134,T036144,condition_168
304,NCT04296643,Masks,D008397,T024987,condition_169
305,NCT04298060,"Influenza, Human",D007251,T658127,condition_10
306,NCT04298060,COVID-19,D000086382,T001007884,condition_3
307,NCT04298814,COVID-19,D000086382,T001007884,condition_3
308,NCT04298814,"Intubation, Intratracheal",D007442,T022352,condition_170
309,NCT04299152,Severe Acute Respiratory Syndrome,D045169,T536434,condition_165
310,NCT04299711,Psychotic Disorders,D011618,T034300,condition_171
311,NCT04299724,COVID-19,D000086382,T001007884,condition_3
312,NCT04302519,COVID-19,D000086382,T001007884,condition_3
313,NCT04302688,Pneumonia,D011014,T032393,condition_74
314,NCT04302766,COVID-19,D000086382,T001007884,condition_3
315,NCT04303299,COVID-19,D000086382,T001007884,condition_3
317,NCT04303507,COVID-19,D000086382,T001007884,condition_3
319,NCT04303507,Respiratory Tract Infections,D012141,T036165,condition_26
320,NCT04304053,COVID-19,D000086382,T001007884,condition_3
321,NCT04304313,COVID-19,D000086382,T001007884,condition_3
322,NCT04304690,COVID-19,D000086382,T001007884,condition_3
323,NCT04305106,COVID-19,D000086382,T001007884,condition_3
324,NCT04305457,COVID-19,D000086382,T001007884,condition_3
325,NCT04305457,"Pneumonia, Viral",D011024,T032427,condition_133
326,NCT04305457,Respiratory Distress Syndrome,D012128,T001010711,condition_14
327,NCT04305574,COVID-19,D000086382,T001007884,condition_3
328,NCT04305574,Depression,D003863,T011484,condition_105
329,NCT04305574,Anxiety,D001007,T003092,condition_104
330,NCT04305574,Hydrocortisone,D006854,T020679,condition_172
331,NCT04306055,Blood Donors,D001782,T005183,condition_2
332,NCT04306393,Severe Acute Respiratory Syndrome,D045169,T536434,condition_165
333,NCT04306393,COVID-19,D000086382,T001007884,condition_3
334,NCT04306497,COVID-19,D000086382,T001007884,condition_3
335,NCT04306705,COVID-19,D000086382,T001007884,condition_3
336,NCT04306705,SARS Virus,D045473,T538594,condition_110
337,NCT04306705,Cytokine Release Syndrome,D000080424,T000952163,condition_173
339,NCT04306705,tocilizumab,C502936,T648929,condition_174
340,NCT04307459,COVID-19,D000086382,T001007884,condition_3
341,NCT04307459,Respiratory Insufficiency,D012131,T036135,condition_175
342,NCT04307459,Lung Injury,D055370,T712538,condition_176
343,NCT04307693,COVID-19,D000086382,T001007884,condition_3
344,NCT04308187,"Stress, Psychological",D013315,T039102,condition_177
345,NCT04308317,COVID-19,D000086382,T001007884,condition_3
346,NCT04308668,COVID-19,D000086382,T001007884,condition_3
347,NCT04308668,Respiratory Distress Syndrome,D012128,T001010711,condition_14
348,NCT04308668,SARS Virus,D045473,T538594,condition_110
351,NCT04310228,COVID-19,D000086382,T001007884,condition_3
352,NCT04310865,COVID-19,D000086382,T001007884,condition_3
353,NCT04310865,Pneumonia,D011014,T032393,condition_74
354,NCT04310865,"Medicine, Chinese Traditional",D008516,T025342,condition_159
355,NCT04311177,COVID-19,D000086382,T001007884,condition_3
356,NCT04311177,Respiratory Distress Syndrome,D012128,T001010711,condition_14
357,NCT04311177,SARS Virus,D045473,T538594,condition_110
358,NCT04311398,COVID-19,D000086382,T001007884,condition_3
359,NCT04311697,COVID-19,D000086382,T001007884,condition_3
360,NCT04311697,Respiratory Distress Syndrome,D012128,T001010711,condition_14
362,NCT04311697,Acute Lung Injury,D055371,T036122,condition_178
363,NCT04312009,COVID-19,D000086382,T001007884,condition_3
364,NCT04312009,Respiratory Distress Syndrome,D012128,T001010711,condition_14
365,NCT04312009,SARS Virus,D045473,T538594,condition_110
366,NCT04312100,COVID-19,D000086382,T001007884,condition_3
367,NCT04312243,COVID-19,D000086382,T001007884,condition_3
368,NCT04312243,Cross Infection,D003428,T009974,condition_179
369,NCT04312464,COVID-19,D000086382,T001007884,condition_3
370,NCT04312464,Cardiovascular Diseases,D002318,T006662,condition_9
371,NCT04312997,COVID-19,D000086382,T001007884,condition_3
372,NCT04313023,COVID-19,D000086382,T001007884,condition_3
373,NCT04313127,COVID-19,D000086382,T001007884,condition_3
374,NCT04313322,COVID-19 drug treatment,C000705127,T001077346,condition_180
375,NCT04313946,COVID-19,D000086382,T001007884,condition_3
376,NCT04313946,"Pneumonia, Viral",D011024,T032427,condition_133
377,NCT04313946,"Influenza, Human",D007251,T658127,condition_10
379,NCT04313946,Virus Diseases,D014777,T043232,condition_181
380,NCT04313946,Pneumonia,D011014,T032393,condition_74
381,NCT04313946,"Ventilators, Mechanical",D012122,T036103,condition_134
383,NCT04314232,COVID-19,D000086382,T001007884,condition_3
385,NCT04314271,COVID-19,D000086382,T001007884,condition_3
386,NCT04314817,COVID-19,D000086382,T001007884,condition_3
387,NCT04314817,Iatrogenic Disease,D007049,T021093,condition_182
388,NCT04314817,Acute Kidney Injury,D058186,T761752,condition_12
389,NCT04314817,Respiratory Distress Syndrome,D012128,T001010711,condition_14
390,NCT04315298,COVID-19,D000086382,T001007884,condition_3
391,NCT04315480,Severe Acute Respiratory Syndrome,D045169,T536434,condition_165
392,NCT04315870,Virus Replication,D014779,T043235,condition_163
393,NCT04315896,COVID-19,D000086382,T001007884,condition_3
394,NCT04315896,"Respiration, Artificial",D012121,T036100,condition_112
395,NCT04315948,COVID-19,D000086382,T001007884,condition_3
396,NCT04315987,COVID-19,D000086382,T001007884,condition_3
397,NCT04316299,COVID-19,D000086382,T001007884,condition_3
398,NCT04316299,Acute Kidney Injury,D058186,T761752,condition_12
399,NCT04316299,Urinary Tract Physiological Phenomena,D014553,T721762,condition_183
400,NCT04316377,COVID-19,D000086382,T001007884,condition_3
401,NCT04316728,COVID-19,D000086382,T001007884,condition_3
402,NCT04316884,COVID-19,D000086382,T001007884,condition_3
403,NCT04316884,Multiple Organ Failure,D009102,T027208,condition_184
405,NCT04316884,"Shock, Septic",D012772,T037700,condition_116
406,NCT04316884,Acute Kidney Injury,D058186,T761752,condition_12
407,NCT04316884,Respiratory Distress Syndrome,D012128,T001010711,condition_14
408,NCT04316949,COVID-19,D000086382,T001007884,condition_3
409,NCT04317040,COVID-19,D000086382,T001007884,condition_3
410,NCT04317092,COVID-19,D000086382,T001007884,condition_3
411,NCT04318015,COVID-19,D000086382,T001007884,condition_3
412,NCT04318015,"Respiration, Artificial",D012121,T036100,condition_112
413,NCT04318301,COVID-19,D000086382,T001007884,condition_3
414,NCT04318301,Hypertension,D006973,T020937,condition_139
415,NCT04318314,"Infectious Disease Transmission, Professional-to-Patient",D017757,T712673,condition_185
416,NCT04318314,COVID-19,D000086382,T001007884,condition_3
418,NCT04318314,Immunological Abnormality,0,0,condition_186
419,NCT04318366,COVID-19,D000086382,T001007884,condition_3
420,NCT04318418,COVID-19,D000086382,T001007884,condition_3
421,NCT04318431,COVID-19,D000086382,T001007884,condition_3
422,NCT04318444,COVID-19,D000086382,T001007884,condition_3
424,NCT04319016,Virus Replication,D014779,T043235,condition_163
425,NCT04319172,Transplant Recipients,D066027,T041547,condition_187
426,NCT04319172,COVID-19,D000086382,T001007884,condition_3
427,NCT04319211,Health Status,D006304,T019120,condition_188
428,NCT04319315,COVID-19,D000086382,T001007884,condition_3
429,NCT04319445,Migraine Disorders,D008881,T636787,condition_189
430,NCT04319445,Hydrocortisone,D006854,T020679,condition_172
431,NCT04319445,Anxiety,D001007,T003092,condition_104
432,NCT04319731,Severe Acute Respiratory Syndrome,D045169,T536434,condition_165
433,NCT04319900,COVID-19,D000086382,T001007884,condition_3
434,NCT04320017,COVID-19,D000086382,T001007884,condition_3
435,NCT04320017,Heart Injuries,D006335,T019196,condition_190
436,NCT04320017,Myocarditis,D009205,T027451,condition_191
437,NCT04320056,COVID-19,D000086382,T001007884,condition_3
438,NCT04320056,Pneumonia,D011014,T032393,condition_74
439,NCT04320056,Hyperoxia,D018496,T055094,condition_192
440,NCT04320238,COVID-19,D000086382,T001007884,condition_3
441,NCT04320277,Pharmacological Action,0,0,condition_193
442,NCT04320472,COVID-19,D000086382,T001007884,condition_3
443,NCT04320472,Brain Diseases,D001927,T005486,condition_194
444,NCT04320472,Critical Illness,D016638,T049821,condition_17
445,NCT04320511,"RNA, Viral",D012367,T036801,condition_195
446,NCT04320511,"Respiration, Artificial",D012121,T036100,condition_112
447,NCT04320511,COVID-19,D000086382,T001007884,condition_3
448,NCT04320615,COVID-19,D000086382,T001007884,condition_3
449,NCT04320732,COVID-19,D000086382,T001007884,condition_3
450,NCT04320862,COVID-19,D000086382,T001007884,condition_3
453,NCT04320862,"Influenza, Human",D007251,T658127,condition_10
454,NCT04320862,Respiratory Rate,D056152,T728970,condition_196
455,NCT04320862,Ureteral Neoplasms,D014516,T042478,condition_197
456,NCT04320953,Gastrointestinal Diseases,D005767,T017386,condition_198
457,NCT04320953,Communicable Diseases,D003141,T009157,condition_160
458,NCT04321096,COVID-19,D000086382,T001007884,condition_3
459,NCT04321174,COVID-19,D000086382,T001007884,condition_3
460,NCT04321174,Post-Exposure Prophylaxis,D056990,T752952,condition_199
461,NCT04321265,COVID-19,D000086382,T001007884,condition_3
462,NCT04321265,Patients,D010361,T030596,condition_200
463,NCT04321265,Critical Illness,D016638,T049821,condition_17
464,NCT04321265,Survival Analysis,D016019,T047557,condition_201
465,NCT04321265,Old Age,0,0,condition_202
466,NCT04321278,COVID-19,D000086382,T001007884,condition_3
467,NCT04321278,"Pneumonia, Viral",D011024,T032427,condition_133
468,NCT04321369,Respiratory Tract Infections,D012141,T036165,condition_26
469,NCT04321369,Fever,D005334,T016284,condition_203
470,NCT04321369,Cough,D003371,T009832,condition_204
471,NCT04321421,COVID-19,D000086382,T001007884,condition_3
472,NCT04321616,SARS Virus,D045473,T538594,condition_110
473,NCT04321616,COVID-19,D000086382,T001007884,condition_3
474,NCT04321616,Respiratory Distress Syndrome,D012128,T001010711,condition_14
475,NCT04321811,COVID-19,D000086382,T001007884,condition_3
476,NCT04321928,COVID-19,D000086382,T001007884,condition_3
