age,age_id
"16 Years to 45 Years  (Child, Adult)",age_78
"16 Years to 55 Years  (Child, Adult)",age_79
"16 Years to 60 Years  (Child, Adult)",age_80
"16 Years to 65 Years  (Child, Adult, Older Adult)",age_81
"16 Years to 70 Years  (Child, Adult, Older Adult)",age_82
"16 Years to 70 Years  (Child, Adult, Older Adult)",age_82
"16 Years to 70 Years  (Child, Adult, Older Adult)",age_82
"16 Years to 70 Years  (Child, Adult, Older Adult)",age_82
"16 Years to 75 Years  (Child, Adult, Older Adult)",age_83
"16 Years to 75 Years  (Child, Adult, Older Adult)",age_83
"16 Years to 80 Years  (Child, Adult, Older Adult)",age_84
"16 Years to 80 Years  (Child, Adult, Older Adult)",age_84
"16 Years to 80 Years  (Child, Adult, Older Adult)",age_84
"16 Years to 80 Years  (Child, Adult, Older Adult)",age_84
"16 Years to 80 Years  (Child, Adult, Older Adult)",age_84
"16 Years to 85 Years  (Child, Adult, Older Adult)",age_85
"16 Years to 85 Years  (Child, Adult, Older Adult)",age_85
"16 Years to 86 Years  (Child, Adult, Older Adult)",age_86
"16 Years to 90 Years  (Child, Adult, Older Adult)",age_87
"16 Years to 90 Years  (Child, Adult, Older Adult)",age_87
"16 Years to 90 Years  (Child, Adult, Older Adult)",age_87
"16 Years to 90 Years  (Child, Adult, Older Adult)",age_87
"16 Years to 97 Years  (Child, Adult, Older Adult)",age_88
"16 Years to 99 Years  (Child, Adult, Older Adult)",age_89
"17 Years and older  (Child, Adult, Older Adult)",age_90
"17 Years and older  (Child, Adult, Older Adult)",age_90
"17 Years and older  (Child, Adult, Older Adult)",age_90
"17 Years and older  (Child, Adult, Older Adult)",age_90
"17 Years and older  (Child, Adult, Older Adult)",age_90
"17 Years and older  (Child, Adult, Older Adult)",age_90
"17 Years to 35 Years  (Child, Adult)",age_91
"17 Years to 35 Years  (Child, Adult)",age_91
"17 Years to 40 Years  (Child, Adult)",age_92
"17 Years to 50 Years  (Child, Adult)",age_93
"17 Years to 65 Years  (Child, Adult, Older Adult)",age_94
"17 Years to 66 Years  (Child, Adult, Older Adult)",age_95
"17 Years to 75 Years  (Child, Adult, Older Adult)",age_96
"17 Years to 81 Years  (Child, Adult, Older Adult)",age_97
"17 Years to 85 Years  (Child, Adult, Older Adult)",age_98
"18 Months and older  (Child, Adult, Older Adult)",age_99
"18 Months and older  (Child, Adult, Older Adult)",age_99
"18 Months and older  (Child, Adult, Older Adult)",age_99
"18 Months to 85 Years  (Child, Adult, Older Adult)",age_100
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
"18 Years and older  (Adult, Older Adult)",age_101
