indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome,standard_outcome,standard_outcome_id,outcome_id,"checker (Manually add results if checker is empty,Manually filter if the number of checkers is greater than or equal to 2)",Time_Frame
11,NCT04452435,Time on Oxygen Supply (for Those Not Needing Mechanical Invasive or Non-invasive Ventilation),O1:51|O2:55,O1:5.0|O2:5.0,C21 Treatment|Placebo Treatment,Time on Oxygen Supply,Oxygen,indicator_8,outcome_11,"['Oxygen', 'Time on Oxygen Supply']",Time Frame: 5 and 14 days 
12,NCT04452435,Adverse Events,O1:51|O2:55,O1:31|O2:37,C21 Treatment|Placebo Treatment,Adverse Events ,Adverse,indicator_10,outcome_12,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: At the first day of the study 
13,NCT04452435,Oxygen Supplementation at Day 14,O1:51|O2:55,O1:1|O2:11,C21 Treatment|Placebo Treatment,Oxygen,Oxygen,indicator_8,outcome_13,['Oxygen'],NA
14,NCT04431908,"Sensitivity, Specificity and Accuracy",O1:1042,O1:889|O1:106|O1:27|O1:20,Outpatients (Drive Thru),"Sensitivity, Specificity and Accuracy ","Sensitivity, Specificity and Accuracy ",indicator_11,outcome_14,"['Sensitivity, Specificity and Accuracy']",Time Frame: Baseline up to 60 days 
15,NCT04431908,Repeatability,O1:0|O2:0,NA,Outpatients (Drive Thru)|High Risk Asymptomatics,Repeatability ,Repeatability ,indicator_12,outcome_15,['Repeatability'],"Time Frame: Baseline, Days 4, 7, 15, 21, and 29 "
16,NCT04431908,"Asymptomatic Sensitivity, Specificity and Accuracy",O1:278,O1:244|O1:31|O1:27|O1:1,High Risk Asymptomatics,"Asymptomatic Sensitivity, Specificity and Accuracy ","Asymptomatic Sensitivity, Specificity and Accuracy ",indicator_13,outcome_16,"['Asymptomatic Sensitivity, Specificity and Accuracy', 'Symptom', 'Sensitivity, Specificity and Accuracy']",Time Frame: At the first 5 days of study 
17,NCT04716426,COVID-19 Contamination Rate.,O1:50|O2:50,O1:2|O2:5,Tetracycline Hydrochloride 3%|Placebo,Contamination Rate,Contamination Rate,indicator_14,outcome_17,['Contamination Rate'],Time Frame: 12 days 
18,NCT04716426,Number of Participants With Adverse Events,O1:50|O2:50,O1:17|O2:23,Tetracycline Hydrochloride 3%|Placebo,Adverse Events ,Adverse,indicator_10,outcome_18,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: At the first day of the study 
19,NCT04716426,Average Number of Adverse Events,O1:50|O2:50,O1:0.65|O2:0.94,Tetracycline Hydrochloride 3%|Placebo,Adverse Events ,Adverse,indicator_10,outcome_19,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: At the first day of the study 
20,NCT04716426,Days Over Which an Adverse Event Was Reported,O1:50|O2:50,O1:0.36|O2:0.28,Tetracycline Hydrochloride 3%|Placebo,Adverse Event,Adverse,indicator_10,outcome_20,"['Adverse', 'Adverse Event']",Time Frame: 24 hours 
21,NCT04716426,Other Virus or Bacteria Contamination Rate.,O1:50|O2:50,O1:0|O2:0,Tetracycline Hydrochloride 3%|Placebo,Virus or Bacteria Contamination Rate,Virus or Bacteria Contamination Rate,indicator_15,outcome_21,"['Virus or Bacteria Contamination Rate', 'Contamination Rate']",Time Frame: 0 to 24 hours post-dose 
22,NCT04392141,Mortality Rate,O1:60|O2:60,O1:6|O2:1,Standard Treatment|Colchicine and Herbal Phenolic Monoterpene Fractions,Mortality Rate ,Death ,indicator_16,outcome_22,"['Mortality Rate', 'Mortality']",Time Frame: Up to and including day 28 
23,NCT04392141,SpO2,O1:60|O2:60,O1:87.39|O2:90.94|O1:92.89|O2:93.49,Standard Treatment|Colchicine and Herbal Phenolic Monoterpene Fractions,SpO2,SpO2,indicator_17,outcome_23,['SpO2'],Time Frame: Days 1 - 29. 
24,NCT04392141,Length of Hospitalization,O1:54|O2:59,O1:6.39|O2:4.17,Standard Treatment|Colchicine and Herbal Phenolic Monoterpene Fractions,Hospitalization ,Hospitalization,indicator_18,outcome_24,"['Hospitalization', 'hospitalization', 'Hospital']",Time Frame: Day 1 through Day 29 
25,NCT04392141,Lymphocyte Count,O1:60|O2:60,O1:1.19|O2:1.31|O1:1.17|O2:1.74,Standard Treatment|Colchicine and Herbal Phenolic Monoterpene Fractions,Lymphocyte Count,Lymphocyte Count,indicator_19,outcome_25,['Lymphocyte Count'],"Time Frame: Baseline, Day 15, Day 29 "
26,NCT04392141,Serum Lactate Dehydrogenase,O1:60|O2:60,O1:664.98|O2:680.27|O1:691.04|O2:542.94,Standard Treatment|Colchicine and Herbal Phenolic Monoterpene Fractions,Serum Lactate Dehydrogenase ,Lactate Dehydrogenase,indicator_20,outcome_26,['Serum Lactate Dehydrogenase'],Time Frame: 28 days 
27,NCT04474496,Personal Preventative Behaviors to Decrease Risk of COVID-19 Exposure,O1:117|O1:117|O1:117|O1:117|O1:117|O1:116|O1:117|O1:117|O1:117|O1:117|O1:117,O1:114|O1:112|O1:114|O1:109|O1:105|O1:113|O1:115|O1:113|O1:99|O1:114,Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.|Marshallese Adults in the U.S.,Personal Preventative Behaviors to Decrease Risk of COVID-19 Exposure ,Personal Preventative Behaviors ,indicator_21,outcome_27,['Personal Preventative Behaviors to Decrease Risk of COVID-19 Exposure'],Time Frame: 14 days 
28,NCT04474496,Workplace Preventative Actions to Decrease Risk of COVID-19 Exposure,O1:120,O1:27|O1:23|O1:73|O1:41|O1:58|O1:59|O1:31|O1:61|O1:41|O1:47|O1:5|O1:3,Marshallese Adults in the U.S.,Workplace Preventative Actions to Decrease Risk of COVID-19 Exposure ,Workplace Preventative,indicator_22,outcome_28,['Workplace Preventative Actions to Decrease Risk of COVID-19 Exposure'],Time Frame: 0 to 24 hours post dose 
29,NCT04474496,Effects of COVID-19 on General Health Status,O1:119,O1:20|O1:74|O1:19|O1:6,Marshallese Adults in the U.S.,Effects of COVID-19 on General Health Status ,General Health Status ,indicator_23,outcome_29,"['Effect', 'Effects of COVID-19 on General Health Status']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
30,NCT04474496,Effects of COVID-19 on Access to Healthcare Services,O1:120,O1:20|O1:14|O1:20|O1:21|O1:53|O1:5,Marshallese Adults in the U.S.,Effects of COVID-19 on Access to Healthcare Services ,Access to Healthcare Services ,indicator_24,outcome_30,"['Effect', 'Effects of COVID-19 on Access to Healthcare Services']",Time Frame: Treatment period of 7 days (Day 1 to Day 8) 
31,NCT04474496,Effects of COVID-19 on Dietary Habits,O1:119,O1:25|O1:41|O1:30|O1:18|O1:5,Marshallese Adults in the U.S.,Effects of COVID-19 on Dietary Habits ,Dietary Habits ,indicator_25,outcome_31,"['Effects of COVID-19 on Dietary Habits', 'Effect']",Time Frame: Day 11 
32,NCT04474496,Effects of COVID-19 on Physical Activity Behaviors (Not Specifically for Exercise),O1:119,O1:27|O1:52|O1:35|O1:5,Marshallese Adults in the U.S.,Effects of COVID-19 on Physical Activity Behaviors (Not Specifically for Exercise) ,Physical Activity Behaviors,indicator_26,outcome_32,"['Effect', 'Effects of COVID-19 on Physical Activity Behaviors (Not Specifically for Exercise)']",Time Frame: 14 days 
33,NCT04474496,Effects of COVID-19 on Physical Activity Behaviors (Specifically for Exercise),O1:119,O1:17|O1:56|O1:37|O1:9,Marshallese Adults in the U.S.,Effects of COVID-19 on Physical Activity Behaviors (Specifically for Exercise) ,Physical Activity Behaviors,indicator_26,outcome_33,"['Effect', 'Effects of COVID-19 on Physical Activity Behaviors (Specifically for Exercise)']","Time Frame: From start of mechanical ventilation until extubation or date of death from any cause, whichever came first, assessed up to 6 months "
34,NCT04474496,Effects of COVID-19 on Weight,O1:119,O1:30|O1:26|O1:34|O1:26|O1:3,Marshallese Adults in the U.S.,Effects of COVID-19 on Weight ,Weight ,indicator_27,outcome_34,"['Effects of COVID-19 on Weight', 'Effect']",Time Frame: 0 to 24 hours post-dose 
35,NCT04474496,Effects of COVID-19 on HbA1c (Glycated Hemoglobin),O1:13,O1:2|O1:5|O1:3|O1:3,Marshallese Adults in the U.S.,HbA1c (Glycated Hemoglobin),HbA1c,indicator_28,outcome_35,"['Effect', 'Hemoglobin', 'HbA1c (Glycated Hemoglobin)']",NA
36,NCT04474496,Barriers to Type 2 Diabetes Management Due to COVID-19,O1:13,O1:2|O1:1|O1:1|O1:3|O1:0|O1:9,Marshallese Adults in the U.S.,Barriers to Type 2 Diabetes Management Due to COVID-19 ,Type 2 Diabetes,indicator_29,outcome_36,['Barriers to Type 2 Diabetes Management Due to COVID-19'],Time Frame: Pre-SSI to 3-month follow-up 
37,NCT04474496,COVID-19 Screening,O1:120,O1:9|O1:7|O1:45|O1:32|O1:27|O1:28|O1:6,Marshallese Adults in the U.S.,COVID-19 Screening ,Screening ,indicator_30,outcome_37,['COVID-19 Screening'],Time Frame: Baseline to Day 28 
38,NCT04474496,COVID-19 Testing,O1:120,O1:20|O1:1|O1:6|O1:54|O1:33|O1:9,Marshallese Adults in the U.S.,COVID-19 Testing ,Testing ,indicator_31,outcome_38,['COVID-19 Testing'],Time Frame: 14 days 
39,NCT04474496,COVID-19 Vaccine Willingness/Hesitancy,O1:113,O1:39|O1:25|O1:8|O1:9|O1:32,Marshallese Adults in the U.S.,COVID-19 Vaccine Willingness/Hesitancy ,Vaccine Willingness/Hesitancy,indicator_32,outcome_39,['COVID-19 Vaccine Willingness/Hesitancy'],"Time Frame: Pre-SSI, Immediately Post-SSI "
40,NCT04474496,Trusted Sources of COVID-19 Information,O1:117,O1:12|O1:15|O1:1|O1:14|O1:4|O1:40|O1:17|O1:7|O1:1|O1:1|O1:1|O1:4,Marshallese Adults in the U.S.,Trusted Sources of COVID-19 Information ,Trusted Sources,indicator_33,outcome_40,['Trusted Sources of COVID-19 Information'],Time Frame: Immediately Post-SSI only 
41,NCT04474496,Effects of COVID-19 on Housing,O1:118,O1:3|O1:12|O1:4|O1:98|O1:1,Marshallese Adults in the U.S.,Effects of COVID-19 on Housing ,Housing ,indicator_34,outcome_41,"['Effect', 'Effects of COVID-19 on Housing']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
42,NCT04474496,Effects of COVID-19 on Employment,O1:120,O1:12|O1:13|O1:9|O1:27|O1:4|O1:23|O1:4|O1:27|O1:5,Marshallese Adults in the U.S.,Effects of COVID-19 on Employment ,Employment ,indicator_35,outcome_42,"['Effect', 'Effects of COVID-19 on Employment']",Time Frame: Day 1 through Day 29 
43,NCT04474496,Effects of COVID-19 on Income,O1:119,O1:3|O1:66|O1:43|O1:7,Marshallese Adults in the U.S.,Effects of COVID-19 on Income ,Income ,indicator_36,outcome_43,"['Effect', 'Effects of COVID-19 on Income']",Time Frame: Day 12 
44,NCT04474496,Sources of Stress During COVID-19,O1:120,O1:75|O1:90|O1:75|O1:79|O1:61|O1:75|O1:59|O1:24|O1:43|O1:32|O1:27|O1:47|O1:5|O1:1|O1:2,Marshallese Adults in the U.S.,Sources of Stress During COVID-19 ,Sources of Stress,indicator_37,outcome_44,['Sources of Stress During COVID-19'],"Time Frame: Day 1 (Baseline), Day 15 "
45,NCT04646109,Gender Distribution of the Patients,O1:30|O2:30,O1:19|O2:21|O1:11|O2:9,Control Group|Study Group,Gender,Gender,indicator_38,outcome_45,['Gender'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
46,NCT04646109,Age Distribution of the Patients,O1:30|O2:30,O1:66.23|O2:58.17,Control Group|Study Group,Age Distribution,Age Distribution,indicator_39,outcome_46,['Age Distribution'],Time Frame: At the first day of the study 
47,NCT04646109,Percentage of Patients With Accompanying Diseases,O1:30|O2:30,O1:10|O2:9|O1:12|O2:15|O1:8|O2:5|O1:1|O2:0|O1:3|O2:6|O1:1|O2:0|O1:1|O2:0,Control Group|Study Group,Accompanying Diseases ,Accompanying Diseases ,indicator_40,outcome_47,['Accompanying Diseases'],Time Frame: Treatment period of 7 days (Day 1 to Day 8) 
48,NCT04646109,Percentage of Patients With Baseline Clinical Symptoms,O1:30|O2:30,O1:13|O2:15|O1:14|O2:16|O1:1|O2:3|O1:19|O2:23|O1:2|O2:5|O1:11|O2:13|O1:7|O2:9|O1:0|O2:1|O1:0|O2:1,Control Group|Study Group,Clinical Symptoms ,Symptoms,indicator_41,outcome_48,"['Symptom', 'Clinical Symptoms']",Time Frame: Baseline 
49,NCT04646109,Body Temperature Means of the Patients,O1:30|O2:30,O1:36.8|O2:36.9,Control Group|Study Group,Body Temperature,Body Temperature,indicator_42,outcome_49,['Body Temperature'],Time Frame: Baseline 
50,NCT04646109,Heart Rate Means of the Patients,O1:30|O2:30,O1:92|O2:88,Control Group|Study Group,Heart Rate,Heart Rate,indicator_43,outcome_50,['Heart Rate'],Time Frame: Day 1 through Day 29 
51,NCT04646109,Respiratory Rate Means of the Patients,O1:30|O2:30,O1:24.7|O2:24,Control Group|Study Group,Respiratory Rate,Respiratory Rate,indicator_44,outcome_51,['Respiratory Rate'],Time Frame: Baseline to Day 29 
52,NCT04646109,Systolic and Diastolic Pressure Means of the Patients,O1:30|O2:30,O1:124.61|O2:124.39|O1:73.43|O2:75.64,Control Group|Study Group,Systolic and Diastolic Pressure,Blood Pressure,indicator_45,outcome_52,['Systolic and Diastolic Pressure'],Time Frame: 14 days 
53,NCT04646109,Number of Participants With Clinical Response,O1:30|O2:30,O1:11|O2:14,Control Group|Study Group,Clinical Response ,Clinical Response,indicator_46,outcome_53,['Clinical Response'],Time Frame: Baseline 
54,NCT04646109,Changes in Oxygen Saturation (SpO2) Values,O1:30|O2:30,O1:89.67|O2:89.93|O1:90.50|O2:92.85|O1:91.90|O2:93.07|O1:93.00|O2:93.52,Control Group|Study Group,Oxygen Saturation (SpO2),SpO2,indicator_17,outcome_54,"['Oxygen', 'SpO2', 'Oxygen Saturation (SpO2)', 'Oxygen Saturation']",Time Frame: 28 days after randomization 
55,NCT04646109,Changes in the Ratio of Partial Pressure of Oxygen (PaO2) to Fraction of Inspired Oxygen (FiO2) (PaO2/FiO2),O1:30|O2:30,O1:197.44|O2:158.83|O1:181.83|O2:147.31|O1:174.77|O2:147.74|O1:180.13|O2:178.94,Control Group|Study Group,PaO2/FiO2,P/F Ratio,indicator_47,outcome_55,"['Oxygen', 'PaO2/FiO2']",Time Frame: 28 days after randomization 
56,NCT04646109,Changes in Serum Lymphocyte Counts,O1:30|O2:30,O1:1010|O2:932|O1:1034|O2:928|O1:977|O2:1021|O1:968|O2:1273,Control Group|Study Group,Serum Lymphocyte Counts,Lymphocyte,indicator_48,outcome_56,"['Serum Lymphocyte Counts', 'Lymphocyte Count']",Time Frame: 28 days 
57,NCT04646109,Changes in the Ratio of Polymorphonuclear Leukocyte Count to Lymphocyte Count (PNL/L),O1:30|O2:30,O1:7.48|O2:8.77|O1:7.74|O2:10.82|O1:9.26|O2:9.02|O1:9.88|O2:7.16,Control Group|Study Group,PNL/L,PNL/L,indicator_49,outcome_57,"['PNL/L', 'Lymphocyte Count']",Time Frame: Anytime during pregnancy or within 6 months after given birth. 
58,NCT04646109,Changes in Serum Ferritin Levels,O1:30|O2:30,O1:747.05|O2:682.75|O1:783.03|O2:834.94|O1:881.17|O2:875.90|O1:1028.24|O2:875.12,Control Group|Study Group,Serum Ferritin Levels ,Ferritin,indicator_50,outcome_58,"['Serum Ferritin Levels', 'Ferritin']",Time Frame: Baseline up to 60 days 
59,NCT04646109,Changes in Serum D-dimer Levels,O1:30|O2:30,O1:1.32|O2:1.25|O1:2.80|O2:1.40|O1:4.14|O2:3.24|O1:3.58|O2:5.85,Control Group|Study Group,Serum D-dimer Levels ,D-dimer,indicator_51,outcome_59,"['Serum D-dimer Levels', 'D-dimer']",Time Frame: Baseline up to 60 days 
60,NCT04646109,Genetic Examination of Haplotypes and Mutations That Cause Function Losing for Ivermectin Metabolism,O1:0|O2:36,O1:0|O2:6|O1:0|O2:30,Control Group|Study Group,Genetic Examination of Haplotypes and Mutations That Cause Function Losing for Ivermectin Metabolism ,Genetic Examination,indicator_52,outcome_60,['Genetic Examination of Haplotypes and Mutations That Cause Function Losing for Ivermectin Metabolism'],Time Frame: Day 1 through Day 29 
61,NCT04646109,Treatment-Related Adverse Events as Assessed by CTCAE v4.0,O1:30|O2:30,O1:2|O2:0|O1:1|O2:0,Control Group|Study Group,Adverse Events,Adverse,indicator_10,outcome_61,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: 48 hours 
62,NCT04646109,Mortality,O1:30|O2:30,O1:9|O2:6,Control Group|Study Group,Mortality ,Death ,indicator_16,outcome_62,['Mortality'],Time Frame: Baseline 
63,NCT04646109,Rate of COVID-19 Polymerase Chain Reaction (PCR) Test Negativity,O1:8|O2:16,O1:3|O2:14,Control Group|Study Group,Polymerase Chain Reaction (PCR),PCR,indicator_53,outcome_63,['Polymerase Chain Reaction (PCR)'],Time Frame: Up to and including day 7 
64,NCT04542694,Rate of Clinical Status Improvement,O1:100|O2:100,O1:27|O2:15,Favipiravir (Areplivir)|Standard of Care,Improvement,Improvement,indicator_54,outcome_64,"['improvement', 'Improvement', 'Clinical Status']",Time Frame: 28 days 
65,NCT04542694,Time to Clinical Improvement,O1:100|O2:100,O1:8|O2:12,Favipiravir (Areplivir)|Standard of Care,Improvement,Improvement,indicator_54,outcome_65,"['improvement', 'Improvement']",Time Frame: 28 days 
66,NCT04542694,Rate of Viral Elimination by Day 10,O1:100|O2:100,O1:98|O2:79,Favipiravir (Areplivir)|Standard of Care,Viral Elimination,Viral Clearance,indicator_55,outcome_66,['Viral Elimination'],Time Frame: Pre-SSI only 
67,NCT04542694,Time Before the End of Fever,O1:100|O2:100,O1:4|O2:5,Favipiravir (Areplivir)|Standard of Care,Fever ,Fever ,indicator_56,outcome_67,['Fever'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
68,NCT04542694,Change in the Level of Lung Damage According to CT,O1:100|O2:100,O1:60|O2:40,Favipiravir (Areplivir)|Standard of Care,Lung Damage,Lung Damage,indicator_57,outcome_68,['Lung Damage'],"Time Frame: Baseline, Day 15, Day 29 "
69,NCT04542694,Rate of Transfer to the Intensive Care Unit,O1:100|O2:100,O1:0|O2:0,Favipiravir (Areplivir)|Standard of Care,Intensive Care,Intensive Care,indicator_58,outcome_69,['Intensive Care'],"Time Frame: Baseline, Minutes 5, 10, 15, 30 (15 minutes after treatment ends) "
70,NCT04542694,Rate of the Use of Non-invasive Lung Ventilation,O1:100|O2:100,O1:0|O2:0,Favipiravir (Areplivir)|Standard of Care,Non-invasive Lung Ventilation ,Non-invasive Lung Ventilation ,indicator_59,outcome_70,['Non-invasive Lung Ventilation'],Time Frame: One-month 
71,NCT04542694,Rate of the Use of Mechanical Ventilation,O1:100|O2:100,O1:0|O2:0,Favipiravir (Areplivir)|Standard of Care,Mechanical Ventilation ,Mechanical Ventilation ,indicator_60,outcome_71,"['mechanical Ventilation', 'Mechanical Ventilation']","Time Frame: from date of patient admission to date of patient discharge or date of death, whichever came first, assessed up to 45 days "
72,NCT04542694,Mortality,O1:100|O2:100,O1:0|O2:0,Favipiravir (Areplivir)|Standard of Care,Mortality,Death ,indicator_16,outcome_72,['Mortality'],Time Frame: within 14 days after enrollement 
73,NCT04401579,Time to Recovery,O1:515|O2:518,O1:7.0|O2:8.0,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Recovery,Recovery,indicator_61,outcome_73,"['Recovery', 'Time to Recovery']","Time Frame: Day 14, Chronic Phase "
74,NCT04401579,Change From Baseline in Alanine Transaminase (ALT),O1:491|O2:491|O1:491|O2:491|O1:407|O2:406|O1:268|O2:284|O1:187|O2:201|O1:250|O2:270|O1:256|O2:255,O1:3.3|O2:2.0|O1:16.8|O2:8.8|O1:7.9|O2:7.8|O1:0.0|O2:7.3|O1:5.0|O2:3.9|O1:-5.4|O2:2.3,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Alanine Transaminase (ALT),ALT,indicator_62,outcome_74,['Alanine Transaminase (ALT)'],Time Frame: From starting to the end of ivermectin therapy (0 to the end of 5th day) 
75,NCT04401579,Change From Baseline in Aspartate Transaminase (AST),O1:486|O2:487|O1:486|O2:487|O1:404|O2:403|O1:265|O2:282|O1:185|O2:200|O1:246|O2:266|O1:251|O2:251,O1:3.1|O2:2.4|O1:27.4|O2:2.8|O1:-5.6|O2:-4.3|O1:-10.6|O2:6.4|O1:-6.0|O2:-3.9|O1:-17.1|O2:2.4,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Aspartate Transaminase (AST),AST,indicator_63,outcome_75,['Aspartate Transaminase (AST)'],Time Frame: At the first day of ivermectin therapy (1st day) 
76,NCT04401579,Change From Baseline in Creatinine,O1:494|O2:495|O1:494|O2:495|O1:412|O2:410|O1:270|O2:285|O1:190|O2:202|O1:254|O2:273|O1:260|O2:257,O1:-0.036|O2:-0.019|O1:-0.078|O2:0.001|O1:-0.082|O2:0.129|O1:-0.055|O2:0.194|O1:-0.042|O2:0.094|O1:-0.034|O2:0.033,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Creatinine,Creatinine,indicator_64,outcome_76,['Creatinine'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
77,NCT04401579,Change From Baseline in Glucose,O1:493|O2:493|O1:493|O2:493|O1:412|O2:409|O1:270|O2:284|O1:190|O2:203|O1:252|O2:271|O1:257|O2:256,O1:-17.1|O2:-6.0|O1:-15.9|O2:-1.6|O1:-16.8|O2:5.0|O1:-8.1|O2:1.2|O1:-11.1|O2:0.8|O1:-4.6|O2:-2.2,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Glucose,Glucose,indicator_65,outcome_77,['Glucose'],Time Frame: Day 1 through Day 29 
78,NCT04401579,Change From Baseline in Hemoglobin,O1:493|O2:494|O1:493|O2:494|O1:410|O2:409|O1:270|O2:284|O1:189|O2:199|O1:253|O2:267|O1:260|O2:254,O1:-0.46|O2:-0.34|O1:-0.62|O2:-0.64|O1:-0.93|O2:-1.08|O1:-1.29|O2:-1.62|O1:-0.96|O2:-1.12|O1:-0.54|O2:-0.77,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Hemoglobin,Hemoglobin,indicator_66,outcome_78,['Hemoglobin'],Time Frame: Day 1 through Day 29 
