,index,nctid,measure_type,measure_description,CUI,standard_measure,I/C ,intervention_id
100,353,NCT04491240,Drug,EXO 1 inhalation,0,EXO 1 inhalation,Intervention,intervention_65
101,354,NCT04491240,Drug,EXO 2 inhalation,0,EXO 2 inhalation,Intervention,intervention_66
103,359,NCT04335552,Other,Standard of Care,C2936643,Standard of Care,Intervention,intervention_67
104,360,NCT04335552,Drug,Hydroxychloroquine,C0020336,HCQ,Intervention,intervention_68
106,378,NCT04475588,Drug,Itolizumab IV infusion,C2987424,itolizumab,Intervention,intervention_69
108,393,NCT04343261,Biological,Convalescent Plasma,C5383282,Convalescent Plasma,Intervention,intervention_70
109,396,NCT04446429,Drug,Proxalutamide,C4331036,Proxalutamide,Intervention,intervention_71
111,398,NCT04332991,Drug,Hydroxychloroquine,C0020336,HCQ,Intervention,intervention_72
113,410,NCT04385238,Other,This is an online survey with no intervention.,0,No Intervention,Intervention,intervention_73
114,412,NCT04370834,Biological,Tocilizumab,C1609165,Tocilizumab,Intervention,intervention_74
115,413,NCT04323592,Drug,Methylprednisolone,C0025815,Methylprednisolone,Intervention,intervention_75
117,419,NCT04371419,Behavioral,Messaging,0,Messaging,Intervention,intervention_76
118,423,NCT04402970,Drug,Dornase Alfa Inhalation Solution,C2348327,Dornase Alfa Inhalation Solution,Intervention,intervention_77
120,430,NCT04328467,Drug,Hydroxychloroquine,C0020336,HCQ,Intervention,intervention_78
122,437,NCT04728594,Behavioral,Social Proof,0,Social Proof,Intervention,intervention_79
123,438,NCT04728594,Behavioral,Reframing,0,Reframing,Intervention,intervention_80
124,439,NCT04728594,Behavioral,Scarcity Message,0,Scarcity Message,Intervention,intervention_81
126,444,NCT04425863,Drug,"Ivermectin 5 MG/ML oral solution, Aspirin 250 mg tablets",C0022322,Ivermectin,Intervention,intervention_82
127,445,NCT04425863,Other,"Ivermectin 5 mg/mL oral solution, Dexamethasone 4-mg injection, Aspirin 250 mg tablets",C0022322,Ivermectin,Intervention,intervention_83
128,446,NCT04425863,Other,"Ivermectin 5 MG/ML oral solution, Dexamethasone 4-mg injection, Enoxaparin injection. Inpatient treatment with mechanical ventilation in ICU.",C1272883,Injection,Intervention,intervention_84
129,449,NCT04542226,Drug,Polyoxidonium,C2716079,Polyoxidonium,Intervention,intervention_85
130,458,NCT04490239,Drug,Intranasal heparin sodium (porcine),C0037513,heparin sodium,Intervention,intervention_86
131,468,NCT04327388,Drug,Sarilumab SAR153191,C4519528,SAR153191,Intervention,intervention_87
133,496,NCT04322396,Drug,Azithromycin,C0052796,AZT,Intervention,intervention_88
134,497,NCT04322396,Drug,Hydroxychloroquine,C0020336,HCQ,Intervention,intervention_89
136,509,NCT04308668,Drug,Hydroxychloroquine,C0020336,HCQ,Intervention,intervention_90
138,518,NCT04340557,Drug,Losartan,C0126174,Losartan,Intervention,intervention_91
139,521,NCT04392219,Drug,EIDD-2801,C5392300,EIDD-2801,Intervention,intervention_92
141,523,NCT04634903,Behavioral,Supportive Therapy SSI,0,Supportive Therapy SSI,Intervention,intervention_93
142,524,NCT04634903,Behavioral,Behavioral Activation SSI,0,Behavioral Activation SSI,Intervention,intervention_94
143,525,NCT04634903,Behavioral,Growth Mindset SSI,0,Growth Mindset SSI,Intervention,intervention_95
145,527,NCT04160975,Behavioral,Video about safety and effectiveness of adult seasonal flu vaccination,0,Video about safety and effectiveness of adult seasonal flu vaccination,Intervention,intervention_96
146,535,NCT04406194,Drug,AVIGAN 200 mg Film Tablets,C5392771,Avigan,Intervention,intervention_97
147,539,NCT04400682,Drug,AVIGAN 200 MG Film Tablets,C5392771,Avigan,Intervention,intervention_98
