index,nctid,Intervention_type,huage_did,CUI,standard_intervention,I/C ,intervention_id,“+”：has_significant；“-”：no_difference,standard_indicator,outcome_id
68,NCT04542694,Drug,Favipiravir (Areplivir),C5392771,Avigan,I,intervention_7,-,Lung Damage,outcome_68
69,NCT04542694,Drug,Favipiravir (Areplivir),C5392771,Avigan,I,intervention_7,-,Intensive Care,outcome_69
70,NCT04542694,Drug,Favipiravir (Areplivir),C5392771,Avigan,I,intervention_7,-,Non-invasive Lung Ventilation ,outcome_70
71,NCT04542694,Drug,Favipiravir (Areplivir),C5392771,Avigan,I,intervention_7,-,Mechanical Ventilation ,outcome_71
72,NCT04542694,Drug,Favipiravir (Areplivir),C5392771,Avigan,I,intervention_7,-,Death ,outcome_72
100,NCT04401579,Drug,Remdesivir+Baricitinib,C4044947,Remdesivir+Baricitinib,I,intervention_8,-,Ordinal Scale,outcome_100
139,NCT04280705,Drug,Remdesivir,,Remdesivir,I,intervention_9,-,Adverse,outcome_139
157,NCT04329923,Drug,Hydroxychloroquine Sulfate 400 mg twice a day,C0020336,HCQ,I,intervention_11,-,Release,outcome_157
199,NCT04331899,Drug,Study drug Peginterferon Lambda-1a,C4043002,Peginterferon Lambda-1a,I,intervention_19,-,Viral Clearance,outcome_189
200,NCT04331899,Drug,Study drug Peginterferon Lambda-1a,C4043002,Peginterferon Lambda-1a,I,intervention_19,-,Viral Load,outcome_190
201,NCT04331899,Drug,Study drug Peginterferon Lambda-1a,C4043002,Peginterferon Lambda-1a,I,intervention_19,-,Viral Load,outcome_191
202,NCT04331899,Drug,Study drug Peginterferon Lambda-1a,C4043002,Peginterferon Lambda-1a,I,intervention_19,-,Resolution of Symptoms,outcome_192
205,NCT04292899,Drug,Remdesivir,,Remdesivir,I,intervention_20,-,Adverse,outcome_195
208,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Ordinal Scale,outcome_198
210,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Improvement,outcome_200
212,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Mechanical Ventilation,outcome_202
213,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Ventilator-free,outcome_203
216,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Ordinal Scale,outcome_206
217,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Time,outcome_207
218,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Death ,outcome_208
219,NCT04320615,Drug,Tocilizumab (TCZ) Arm,C1609165,tocilizumab,I,intervention_22,-,Recovery,outcome_209
328,NCT04356937,Drug,Tocilizumab,C1609165,Tocilizumab,I,intervention_56,-,Death ,outcome_318
329,NCT04356937,Drug,Tocilizumab,C1609165,Tocilizumab,I,intervention_56,-,Ordinal Scale,outcome_319
330,NCT04356937,Drug,Tocilizumab,C1609165,Tocilizumab,I,intervention_56,-,Oxygen,outcome_320
372,NCT04898166,,Hydroxychloroquine,C0020336,HCQ,I,intervention_68,-,Androgenetic Alopecia,outcome_362
468,NCT04327388,Drug,Sarilumab SAR153191,C4519528,SAR153191,I,intervention_87,-,Improvement,outcome_458
469,NCT04327388,Drug,Sarilumab SAR153191,C4519528,SAR153191,I,intervention_87,-,Alive,outcome_459
470,NCT04327388,Drug,Sarilumab SAR153191,C4519528,SAR153191,I,intervention_87,-,Improvement,outcome_460
509,NCT04308668,Drug,Hydroxychloroquine,C0020336,HCQ,I,intervention_90,-,Active COVID-19 Disease at Day 15,outcome_499
510,NCT04308668,Drug,Hydroxychloroquine,C0020336,HCQ,I,intervention_90,-,Disease Severity,outcome_500
