nctid,title,Study_Designs,Other_IDs,Locations,URL
NCT04432987,Dornase Alpha for the Treatment of COVID-19,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,8820,"Acıbadem Altunizade Hospital, Istanbul, Turkey",https://ClinicalTrials.gov/show/NCT04432987
NCT04537559,Impact of COVID-19 Outbreak on Non-COVID-19 Patients,Observational Model: Cohort|Time Perspective: Retrospective,2020-01017,"Geneva University Hospital, Geneva, Canton De Genève, Switzerland",https://ClinicalTrials.gov/show/NCT04537559
NCT04628143,A Study Evaluating the Efficacy and Safety of CKD-314 in Hospitalized Adult Patients Diagnosed With COVID-19 Pneumonia,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,A108_01CVD2013,NA,https://ClinicalTrials.gov/show/NCT04628143
NCT04336904,Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment",HS216C17-PHASE III,"Asst Fatebenefratelli Sacco, Milano, Italy",https://ClinicalTrials.gov/show/NCT04336904
NCT04568031,Study of AZD1222 for the Prevention of COVID-19 in Japan,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",D8111C00002,"Research Site, Fukuoka-shi, Japan|Research Site, Hachioji-shi, Japan|Research Site, Minato-ku, Japan|Research Site, Sumida-ku, Japan|Research Site, Toshima-ku, Japan",https://ClinicalTrials.gov/show/NCT04568031
NCT04869228,"A Phase 3 Randomized, Double-Blind Placebo Controlled, Multi-regional Trial to Evaluate the Efficacy and Safety of GT0918 for the Treatment of Mild to Moderate COVID-19 Male Patients","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",GT0918-MR-3001,NA,https://ClinicalTrials.gov/show/NCT04869228
NCT04445272,Clinical Trial to Evaluate the Effectiveness and Safety of Tocilizumab for Treating Patients With COVID-19 Pneumonia,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BREATH-19 (FSG011-20),"Hospital Universitario de Cabueñes, Gijón, Asturias, Spain|Hospital Universitari de Bellvitge, L'Hospitalet De Llobregat, Barcelona, Spain|Hospital Sant Joan de Déu de Manresa, Manresa, Barcelona, Spain|Hospital de Mataró, Mataró, Barcelona, Spain|Hospital Universitario de Galdakao, Galdakao, Bizkaia, Spain|Hospital Universitario Marqués Valdecilla, Santander, Cantabria, Spain|Hospital Público General del Tomelloso, Tomelloso, Ciudad Real, Spain|Hospital Jerez de la Frontera, Jerez De La Frontera, Cádiz, Spain|Hospital Universitari Son Espases, Palma De Mallorca, Islas Baleares, Spain|Hospital Universitario Fundación Alcorcón, Alcorcón, Madrid, Spain|Hospital Universitario de Fuenlabrada, Fuenlabrada, Madrid, Spain|Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Rey Juan Carlos, Móstoles, Madrid, Spain|Hospital Universitario Rey Juan Carlos, Móstoles, Madrid, Spain|Hospital Universitario Infanta Sofía, San Sebastián De Los Reyes, Madrid, Spain|Complejo Hospitalario de Navarra, Pamplona, Navarra, Spain|Hospital Nuestra Señora del Prado, Talavera De La Reina, Toledo, Spain|Complejo Hospitalario Universitario de Albacete, Albacete, Spain|Hospital Infanta Cristina, Badajoz, Spain|Hospital Clínic i Provincial Barcelona, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitario de Burgos, Burgos, Spain|Hospital Universitario Dr. Josep Trueta, Gerona, Spain|Hospital Universitario Clínico San Cecilio, Granada, Spain|Hospital Universitario Virgen de las Nieves, Granada, Spain|Hospital General Universitario Gregorio Marañón, Madrid, Spain|Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Hospital Universitario HM Sanchinarro, Madrid, Spain|Hospital Universitario Infanta Leonor, Madrid, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Clínico Universitario Virgen de la Arrixaca, Murcia, Spain|Hospital Regional Universitario de Málaga, Málaga, Spain|Complexo Hospitalario Universitario de Ourense, Orense, Spain|Hospital Universitario Salamanca, Salamanca, Spain|Hospital Universitario Virgen de la Macarena, Sevilla, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain|Hospital Virgen de la Salud, Toledo, Spain|Hospital Clinico Universitario de Valencia, Valencia, Spain|Hospital Universitari i Poliectenic La Fe, Valencia, Spain|Hospital Universitario Dr. Peset, Valencia, Spain|Hospital Clínico Universitario Lozano Blesa, Zaragoza, Spain|Hospital Universitario Miguel Servet, Zaragoza, Spain",https://ClinicalTrials.gov/show/NCT04445272
NCT04354831,A Study Evaluating the Efficacy and Safety of High-Titer Anti-SARS-CoV-2 Plasma in Hospitalized Patients With COVID-19 Infection,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,PRO00037712,"Froedtert Hospital, Milwaukee, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT04354831
NCT04582266,PK and Safety of Remdesivir for Treatment of COVID-19 in Pregnant and Non-Pregnant Women in the US,Observational Model: Cohort|Time Perspective: Prospective,IMPAACT 2032|DAIDS Study ID 38746,"USC/Los Angeles County Medical Center NICHD CRS (5048), Los Angeles, California, United States|David Geffen School of Medicine at UCLA (CRS 5112), Los Angeles, California, United States|University California, San Diego (CRS 4601), San Diego, California, United States|Childrens Hospital (U. Colorado, Denver) NICHD CRS (5052), Denver, Colorado, United States|University of Florida (5051), Jacksonville, Florida, United States|Univ of Miami Pediatric/Perinatal HIV/AIDS (4201), Miami, Florida, United States|Emory University School of Medicine (CRS 5030), Atlanta, Georgia, United States|Ann & Robert H Lurie Children's Hospital of Chicago (4001), Chicago, Illinois, United States|Rush University Cook County Hospital NICHD CRS (5083), Chicago, Illinois, United States|Johns Hopkins University NICHD CRS (5092), Baltimore, Maryland, United States|Boston Medical Center Ped. HIV Program NICHD CRS (5011), Boston, Massachusetts, United States|Bronx-Lebanon Hospital Center (CRS 5114), Bronx, New York, United States|Jacobi Med. Ctr. Bronx NICHD CRS (5013), Bronx, New York, United States|Stony Brook University Medical Center (CRS 5040), Stony Brook, New York, United States|St. Jude Childrens Research Hosp, Memphis (6501), Memphis, Tennessee, United States|Texas Children's Hospital (Site 5128), Houston, Texas, United States|University of Puerto Rico Pediatric HIV/AIDS CRS (6601), San Juan, Puerto Rico",https://ClinicalTrials.gov/show/NCT04582266
NCT04351802,CORonavirus (COVID-19) Diagnostic Lung UltraSound Study,Observational Model: Cohort|Time Perspective: Prospective,282661,"Derriford Hospital, Plymouth, Devon, United Kingdom",https://ClinicalTrials.gov/show/NCT04351802
NCT04359095,Effectiveness and Safety of Medical Treatment for SARS-CoV-2 (COVID-19) in Colombia,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,76968,"Clinica santa Maria del lago, Bogota, DC, Colombia|Hospital Universitario de Neiva, Neiva, Huila, Colombia|Clínica Reina Sofía, Bogotá, Colombia|Fundacion Cardio Infantil, Bogotá, Colombia|Hospital Universitario San Ignacio, Bogotá, Colombia|Clinica Universitaria Colombia, Bogotá, Colombia|Hospital Universitario Nacional de Colombia, Bogotá, Colombia",https://ClinicalTrials.gov/show/NCT04359095
NCT04540393,AZD1222 Vaccine for the Prevention of COVID-19,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,D8111C00001,"Research Site, Moscow, Russian Federation|Research Site, Moscow, Russian Federation|Research Site, Saint Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, St. Petersburg, Russian Federation",https://ClinicalTrials.gov/show/NCT04540393
NCT04723394,Phase III Study of AZD7442 for Treatment of COVID-19 in Outpatient Adults,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",D8851C00001,"Research Site, Jasper, Alabama, United States|Research Site, Tempe, Arizona, United States|Research Site, Tucson, Arizona, United States|Research Site, Conway, Arkansas, United States|Research Site, Huntington Beach, California, United States|Research Site, Long Beach, California, United States|Research Site, Northridge, California, United States|Research Site, Pomona, California, United States|Research Site, Rolling Hills Estates, California, United States|Research Site, Cutler Bay, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Pompano Beach, Florida, United States|Research Site, Conyers, Georgia, United States|Research Site, Chicago, Illinois, United States|Research Site, Lexington, Kentucky, United States|Research Site, Lake Charles, Louisiana, United States|Research Site, Saint Louis, Missouri, United States|Research Site, La Vista, Nebraska, United States|Research Site, North Las Vegas, Nevada, United States|Research Site, Secaucus, New Jersey, United States|Research Site, New York, New York, United States|Research Site, Charlotte, North Carolina, United States|Research Site, Charlotte, North Carolina, United States|Research Site, Charlotte, North Carolina, United States|Research Site, Salisbury, North Carolina, United States|Research Site, Statesville, North Carolina, United States|Research Site, Fargo, North Dakota, United States|Research Site, Columbus, Ohio, United States|Research Site, West Columbia, South Carolina, United States|Research Site, Knoxville, Tennessee, United States|Research Site, Dallas, Texas, United States|Research Site, Houston, Texas, United States|Research Site, Houston, Texas, United States|Research Site, Houston, Texas, United States|Research Site, Houston, Texas, United States|Research Site, Houston, Texas, United States|Research Site, Humble, Texas, United States|Research Site, Buenos Aires, Argentina|Research Site, Buenos Aires, Argentina|Research Site, Ciudad de Buenos Aires, Argentina|Research Site, Munro, Argentina|Research Site, Blumenau, Brazil|Research Site, Botucatu, Brazil|Research Site, Maringa, Brazil|Research Site, Porto Alegre, Brazil|Research Site, Porto Alegre, Brazil|Research Site, Ribeirão Preto, Brazil|Research Site, Sao Bernardo do Campo, Brazil|Research Site, Sao Paulo, Brazil|Research Site, Sorocaba, Brazil|Research Site, São Paulo, Brazil|Research Site, São Paulo, Brazil|Research Site, Plovdiv, Bulgaria|Research Site, Sofia, Bulgaria|Research Site, Sofia, Bulgaria|Research Site, Vratsa, Bulgaria|Research Site, Bilina, Czechia|Research Site, Hradec Kralove, Czechia|Research Site, Kolin, Czechia|Research Site, Ostrava, Czechia|Research Site, Svitavy, Czechia|Research Site, Berlin - Friedrichshain, Germany|Research Site, Berlin, Germany|Research Site, Berlin, Germany|Research Site, Frankfurt/Main, Germany|Research Site, Frankfurt, Germany|Research Site, Hamburg, Germany|Research Site, Hannover, Germany|Research Site, Koblenz, Germany|Research Site, Köln, Germany|Research Site, Mainz, Germany|Research Site, München-Pasing, Germany|Research Site, München, Germany|Research Site, Budapest, Hungary|Research Site, Budapest, Hungary|Research Site, Debrecen, Hungary|Research Site, Gyöngyös, Hungary|Research Site, Nyíregyháza, Hungary|Research Site, Tatabánya, Hungary|Research Site, Bologna, Italy|Research Site, Guastalla, Italy|Research Site, Milano, Italy|Research Site, Milano, Italy|Research Site, Napoli, Italy|Research Site, Piacenza, Italy|Research Site, Pisa, Italy|Research Site, Roma, Italy|Research Site, Chiba-shi, Japan|Research Site, Hachioji-shi, Japan|Research Site, Iruma-Gun, Japan|Research Site, Kobe-shi, Japan|Research Site, Kyoto-shi, Japan|Research Site, Maebashi-shi, Japan|Research Site, Narita-shi, Japan|Research Site, Sendai-shi, Japan|Research Site, Shinagawa-ku, Japan|Research Site, Shinagawa-ku, Japan|Research Site, Shinjuku-ku, Japan|Research Site, Tsukuba-shi, Japan|Research Site, Aguascalientes, Mexico|Research Site, Chihuahua, Mexico|Research Site, Cuauhtemoc, Mexico|Research Site, Cuautitlan Izcalli, Mexico|Research Site, Ecatepec de Morelos, Mexico|Research Site, Guadalajara, Mexico|Research Site, Guadalajara, Mexico|Research Site, Mazatlán, Mexico|Research Site, Monterrey, Mexico|Research Site, Mérida, Mexico|Research Site, Tlalpan, Mexico|Research Site, Tlalpan, Mexico|Research Site, Chancay, Peru|Research Site, Lima, Peru|Research Site, Lima, Peru|Research Site, Lima, Peru|Research Site, Elbląg, Poland|Research Site, Poznań, Poland|Research Site, Rzeszów, Poland|Research Site, Skierniewice, Poland|Research Site, Strzelce Opolskie, Poland|Research Site, Wołomin, Poland|Research Site, Wrocław, Poland|Research Site, Łódź, Poland|Research Site, Moscow, Russian Federation|Research Site, Murmansk, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, Cabra, Spain|Research Site, Centelles (Barcelona), Spain|Research Site, Girona, Spain|Research Site, Madrid, Spain|Research Site, Málaga, Spain|Research Site, Dnipro, Ukraine|Research Site, Ivano-Frankivsk, Ukraine|Research Site, Kharkiv Region, Ukraine|Research Site, Kherson, Ukraine|Research Site, Kyiv, Ukraine|Research Site, Lutsk, Ukraine|Research Site, Zaporizhia, Ukraine|Research Site, Zhytomyr, Ukraine|Research Site, Blackpool, United Kingdom|Research Site, Bracknell, United Kingdom|Research Site, Bristol, United Kingdom|Research Site, Cambridge, United Kingdom|Research Site, Connor Downs, United Kingdom|Research Site, Highgate, United Kingdom|Research Site, Leicester, United Kingdom|Research Site, Preston, United Kingdom|Research Site, Rochdale, United Kingdom",https://ClinicalTrials.gov/show/NCT04723394
NCT04345445,Study to Evaluate the Efficacy and Safety of Tocilizumab Versus Corticosteroids in Hospitalised COVID-19 Patients With High Risk of Progression,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TVCS-COVID19,"University Malaya Medical Centre, Kuala Lumpur, Malaysia",https://ClinicalTrials.gov/show/NCT04345445
NCT04883138,Recombinant Hyperimmune Polyclonal Antibody (GIGA-2050) in COVID-19 Patients,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,GG-GIGA-2050-001,"Icahn School of Medicine at Mount Sinai, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04883138
NCT04508712,Long-term Outcomes in Patients With COVID-19,Observational Model: Case-Only|Time Perspective: Prospective,COVID-19 Prognosis,"Renji Hospital, Shanghai Jiaotong University School of Medicine, Pudong, Shanghai, China",https://ClinicalTrials.gov/show/NCT04508712
NCT04361422,Isotretinoin in Treatment of COVID-19,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,9469305c,NA,https://ClinicalTrials.gov/show/NCT04361422
NCT04460547,Worldwide Trends on COVID-19 Research After the Declaration of COVID-19 Pandemic,Observational Model: Cohort|Time Perspective: Retrospective,COAHS,NA,https://ClinicalTrials.gov/show/NCT04460547
NCT04355741,"Gut Microbiota, ""Spark and Flame"" of COVID-19 Disease",Observational Model: Case-Only|Time Perspective: Cross-Sectional,COVID19_Microbiota,"Hospital CUF Infante Santo, S.A., Lisbon, Portugal|Hospital de São Francisco Xavier, Lisbon, Portugal|Centro Hospitalar Universitário São João, Oporto, Portugal",https://ClinicalTrials.gov/show/NCT04355741
NCT04388683,Inhaled Nitric Oxide for Preventing Progression in COVID-19,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,STUDY00000554,"Tufts Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT04388683
NCT04625972,"Phase III Double-blind, Placebo-controlled Study of AZD7442 for Post- Exposure Prophylaxis of COVID-19 in Adults","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention",D8850C00003,"Research Site, Guntersville, Alabama, United States|Research Site, Tempe, Arizona, United States|Research Site, Little Rock, Arkansas, United States|Research Site, Bakersfield, California, United States|Research Site, Corona, California, United States|Research Site, Garden Grove, California, United States|Research Site, Huntington Beach, California, United States|Research Site, Huntington Park, California, United States|Research Site, Modesto, California, United States|Research Site, Coral Springs, Florida, United States|Research Site, Miami Lakes, Florida, United States|Research Site, Miami Lakes, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Mount Dora, Florida, United States|Research Site, North Miami, Florida, United States|Research Site, Pembroke Pines, Florida, United States|Research Site, Pompano Beach, Florida, United States|Research Site, Tampa, Florida, United States|Research Site, West Palm Beach, Florida, United States|Research Site, Atlanta, Georgia, United States|Research Site, Buford, Georgia, United States|Research Site, Conyers, Georgia, United States|Research Site, Chicago, Illinois, United States|Research Site, Chicago, Illinois, United States|Research Site, Hazel Crest, Illinois, United States|Research Site, Noblesville, Indiana, United States|Research Site, West Des Moines, Iowa, United States|Research Site, Wichita, Kansas, United States|Research Site, Owensboro, Kentucky, United States|Research Site, Bethesda, Maryland, United States|Research Site, High Point, North Carolina, United States|Research Site, Wilmington, North Carolina, United States|Research Site, Orangeburg, South Carolina, United States|Research Site, Dallas, Texas, United States|Research Site, El Paso, Texas, United States|Research Site, Friendswood, Texas, United States|Research Site, Gonzales, Texas, United States|Research Site, Harlingen, Texas, United States|Research Site, Houston, Texas, United States|Research Site, San Antonio, Texas, United States|Research Site, Riverton, Utah, United States|Research Site, Alexandria, Virginia, United States|Research Site, Norfolk, Virginia, United States|Research Site, Portsmouth, Virginia, United States|Research Site, Richmond, Virginia, United States|Research Site, Tacoma, Washington, United States|Research Site, Bournemouth, United Kingdom|Research Site, Hayle, United Kingdom|Research Site, London, United Kingdom|Research Site, London, United Kingdom|Research Site, London, United Kingdom|Research Site, Manchester, United Kingdom|Research Site, Southampton, United Kingdom",https://ClinicalTrials.gov/show/NCT04625972
NCT04377763,Developement and Evaluation of Serological Assays for COVID-19,Observational Model: Cohort|Time Perspective: Retrospective,20MWI-SEROCOV,"Laboratory of microbiology of hospital hygiene, Ambroise Paré Hospital, APHP, Boulogne-Billancourt, France",https://ClinicalTrials.gov/show/NCT04377763
NCT04578158,Trial to Study the Adjuvant Benefits of Quercetin Phytosome in Patients With COVID-19,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,LUMHS/REC/894,"Liaquat University Hospital, Jāmshoro, Sindh, Pakistan",https://ClinicalTrials.gov/show/NCT04578158
NCT04421534,Utility of Lactoferrin as an Adjunct Therapeutic Agent for COVID-19,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CUKA-001,NA,https://ClinicalTrials.gov/show/NCT04421534
NCT04501796,A Trial of NT-I7 in COVID-19 (SPESELPIS),"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",NIT-116 (SPESELPIS),"Nih/Niaid, Bethesda, Maryland, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States",https://ClinicalTrials.gov/show/NCT04501796
NCT04428801,Autologous Adipose-derived Stem Cells (AdMSCs) for COVID-19,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",CTX0020-003,NA,https://ClinicalTrials.gov/show/NCT04428801
NCT04628039,"Chronic Lung Disease and COVID-19: Understanding Severity, Recovery and Rehabilitation Needs",Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,F3666-R|1I01RX003666-01,"VA Puget Sound Health Care System Seattle Division, Seattle, WA, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT04628039
NCT04932941,MP1032 Treatment in Patients With Moderate to Severe COVID-19,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",MP1032-CT05|2021-000344-21,NA,https://ClinicalTrials.gov/show/NCT04932941
NCT04466644,COVID-19: A Prevalence Study of Two ART Centres After the Pandemic Lockdown in the USA (COVID-19 Free Clinics),Observational Model: Other|Time Perspective: Prospective,IGX2-COV-JC-20-04|20201490,"Boston IVF Fertility Clinic, Boston, Massachusetts, United States|Utah Fertility Clinic, Pleasant Grove, Utah, United States",https://ClinicalTrials.gov/show/NCT04466644
NCT04431908,Validation of a Rapid Quantitative Test for Loss of Smell in COVID-19 Subjects,Observational Model: Cohort|Time Perspective: Prospective,2000028259,"Yale New Haven Hospital, New Haven, Connecticut, United States",https://ClinicalTrials.gov/show/NCT04431908
NCT04343183,Hyperbaric Oxygen Therapy (HBOT) as a Treatment for COVID-19 (COVID-19) Infection,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,STUDY00001051,"Ochsner Medical Center, New Orleans, Louisiana, United States",https://ClinicalTrials.gov/show/NCT04343183
NCT04347915,The Phase 2 Study to Evaluate the Safety and Efficacy of Clevudine in Patients With Moderate COVID-19,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,BK-CLV-201,"Korea University Guro Hospital, Seoul, Korea, Republic of",https://ClinicalTrials.gov/show/NCT04347915
